2026-06-30 15:17:01 | INFO     | services.embedding.embedding_service | Loading local embedding model 'sentence-transformers/all-MiniLM-L6-v2'...
2026-06-30 15:17:50 | INFO     | services.embedding.embedding_service | Embedding model loaded.
2026-06-30 15:18:29 | INFO     | services.embedding.embedding_service | Loading local embedding model 'sentence-transformers/all-MiniLM-L6-v2'...
2026-06-30 15:18:36 | INFO     | services.embedding.embedding_service | Embedding model loaded.
2026-06-30 15:26:48 | INFO     | services.embedding.embedding_service | Loading local embedding model 'sentence-transformers/all-MiniLM-L6-v2'...
2026-06-30 15:26:56 | INFO     | services.embedding.embedding_service | Embedding model loaded.
2026-06-30 15:27:28 | INFO     | services.embedding.embedding_service | Loading local embedding model 'sentence-transformers/all-MiniLM-L6-v2'...
2026-06-30 15:27:35 | INFO     | services.embedding.embedding_service | Embedding model loaded.
2026-06-30 15:27:50 | INFO     | services.ingestion_service | Upload received: session '67c48152-4997-48bc-bb2e-daaa3966880b' with 1 file(s).
2026-06-30 15:27:51 | INFO     | services.document_processor.pdf_extractor | Opened 'test.pdf' with 14 page(s) for extraction.
2026-06-30 15:27:56 | INFO     | services.document_processor.chunker | Chunking complete: produced 18 chunk(s) for session '67c48152-4997-48bc-bb2e-daaa3966880b'.
2026-06-30 15:27:59 | INFO     | services.llamaindex.index_manager | Index created and persisted for session '67c48152-4997-48bc-bb2e-daaa3966880b' (18 node(s)).
2026-06-30 15:30:35 | INFO     | services.embedding.embedding_service | Loading local embedding model 'sentence-transformers/all-MiniLM-L6-v2'...
2026-06-30 15:30:42 | INFO     | services.embedding.embedding_service | Embedding model loaded.
2026-06-30 15:30:42 | INFO     | services.llamaindex.index_manager | Loaded existing index for session '67c48152-4997-48bc-bb2e-daaa3966880b'.
2026-06-30 15:30:42 | INFO     | services.query_engine.retriever | Query executed for session '67c48152-4997-48bc-bb2e-daaa3966880b': 'Whats day 1 tasks?' -> 5 result(s).
2026-06-30 15:31:58 | INFO     | services.embedding.embedding_service | Loading local embedding model 'sentence-transformers/all-MiniLM-L6-v2'...
2026-06-30 15:32:05 | INFO     | services.embedding.embedding_service | Embedding model loaded.
2026-06-30 15:32:05 | INFO     | services.llamaindex.index_manager | Loaded existing index for session '67c48152-4997-48bc-bb2e-daaa3966880b'.
2026-06-30 15:32:05 | INFO     | services.query_engine.retriever | Query executed for session '67c48152-4997-48bc-bb2e-daaa3966880b': '2 companies which we will approach?' -> 5 result(s).
2026-06-30 15:37:11 | INFO     | services.embedding.embedding_service | Loading local embedding model 'sentence-transformers/all-MiniLM-L6-v2'...
2026-06-30 15:37:18 | INFO     | services.embedding.embedding_service | Embedding model loaded.
2026-06-30 15:37:18 | INFO     | services.llamaindex.index_manager | Loaded existing index for session '67c48152-4997-48bc-bb2e-daaa3966880b'.
2026-06-30 15:37:18 | INFO     | services.query_engine.retriever | Query executed for session '67c48152-4997-48bc-bb2e-daaa3966880b': '<So tell me what i have to submit at day 2? tell me clearly please exact submission details' -> 5 result(s).
2026-07-01 16:05:14 | INFO     | services.embedding.embedding_service | Loading local embedding model 'sentence-transformers/all-MiniLM-L6-v2'...
2026-07-01 16:05:21 | INFO     | services.embedding.embedding_service | Embedding model loaded.
2026-07-01 16:13:20 | INFO     | services.ocr.ocr_service | Tesseract configured at: C:\Program Files\Tesseract-OCR\tesseract.exe
2026-07-01 16:13:21 | INFO     | services.embedding.embedding_service | Loading local embedding model 'sentence-transformers/all-MiniLM-L6-v2'...
2026-07-01 16:13:27 | INFO     | services.embedding.embedding_service | Embedding model loaded.
2026-07-01 16:13:57 | INFO     | services.ocr.ocr_service | Tesseract configured at: C:\Program Files\Tesseract-OCR\tesseract.exe
2026-07-01 16:13:57 | INFO     | services.embedding.embedding_service | Loading local embedding model 'sentence-transformers/all-MiniLM-L6-v2'...
2026-07-01 16:14:03 | INFO     | services.embedding.embedding_service | Embedding model loaded.
